../../multiobj/experiments/eil76/eil76_n75_bounded-strongly-corr_01.ttp	Run:1
Mutation: JUMP2OPT	Indicator: HV	fixedPopulationSize:true
Injecting
Iteration:0	populationSize:50	Max Benefit:3884.840633711419	Weight:5634	Hypervolume:8476619.204397505
Iteration:200	populationSize:50	Max Benefit:3945.507998687169	Weight:5634	Hypervolume:8578740.601899942
Iteration:400	populationSize:50	Max Benefit:3949.4172195739666	Weight:5634	Hypervolume:8583254.028976943
Iteration:600	populationSize:50	Max Benefit:3949.4172195739666	Weight:5634	Hypervolume:8583254.028976943
Iteration:800	populationSize:50	Max Benefit:3949.4172195739666	Weight:5634	Hypervolume:8583254.028976943
Iteration:1000	populationSize:50	Max Benefit:3949.4172195739666	Weight:5634	Hypervolume:8596435.486105956
Iteration:1200	populationSize:50	Max Benefit:3949.4172195739666	Weight:5634	Hypervolume:8603128.820147261
Iteration:1400	populationSize:50	Max Benefit:3949.4172195739666	Weight:5634	Hypervolume:8673483.483155483
Iteration:1600	populationSize:50	Max Benefit:3949.4172195739666	Weight:5634	Hypervolume:8682831.49973582
Iteration:1800	populationSize:50	Max Benefit:3949.4172195739666	Weight:5634	Hypervolume:8707796.475988347
Iteration:2000	populationSize:50	Max Benefit:3949.4172195739666	Weight:5634	Hypervolume:8728188.740530135
Iteration:2200	populationSize:50	Max Benefit:3728.3681114501674	Weight:5549	Hypervolume:8637785.117899425
Iteration:2400	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8644949.078369705
Iteration:2600	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8599461.758974703
Iteration:2800	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8599461.758974703
Iteration:3000	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8599461.758974703
Iteration:3200	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8599461.758974703
Iteration:3400	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8599461.758974703
Iteration:3600	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8599461.758974703
Iteration:3800	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8599461.758974703
Iteration:4000	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8599461.758974703
Iteration:4200	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8599461.758974703
Iteration:4400	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8599461.758974703
Iteration:4600	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8599461.758974703
Iteration:4800	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8599461.758974703
Iteration:5000	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8599461.758974703
Iteration:5200	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8599764.076657057
Iteration:5400	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8600242.31543599
Iteration:5600	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8600242.31543599
Iteration:5800	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8600242.31543599
Iteration:6000	populationSize:50	Max Benefit:3731.7528952429348	Weight:5549	Hypervolume:8600242.31543599
Iteration:6200	populationSize:50	Max Benefit:3735.8510058314373	Weight:5549	Hypervolume:8628837.708244955
Iteration:6400	populationSize:50	Max Benefit:3735.8510058314373	Weight:5549	Hypervolume:8628837.708244955
Iteration:6600	populationSize:50	Max Benefit:3735.8510058314373	Weight:5549	Hypervolume:8628837.708244955
Iteration:6800	populationSize:50	Max Benefit:3735.8510058314373	Weight:5549	Hypervolume:8628837.708244955
Iteration:7000	populationSize:50	Max Benefit:3735.8510058314373	Weight:5549	Hypervolume:8628837.708244955
Iteration:7200	populationSize:50	Max Benefit:3735.8510058314373	Weight:5549	Hypervolume:8628837.708244955
Iteration:7400	populationSize:50	Max Benefit:3735.8510058314373	Weight:5549	Hypervolume:8628837.708244955
Iteration:7600	populationSize:50	Max Benefit:3735.8510058314373	Weight:5549	Hypervolume:8628837.708244955
