experiments/eil101/eil101_n100_uncorr-similar-weights_01.ttp	Run:1
Mutation: JUMP2OPT	Indicator: HV	fixedPopulationSize:true
Injecting
Iteration:0	populationSize:50	Max Benefit:2291.9574857344246	Weight:9042	Hypervolume:3909609.141213031
Iteration:200	populationSize:50	Max Benefit:2351.084532301522	Weight:9047	Hypervolume:4053650.4049817356
Iteration:400	populationSize:50	Max Benefit:2433.0577210519104	Weight:9044	Hypervolume:4201940.210382419
Iteration:600	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235535.01537698
Iteration:800	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235535.01537698
Iteration:1000	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235535.01537698
Iteration:1200	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:1400	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:1600	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:1800	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:2000	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:2200	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:2400	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:2600	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:2800	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:3000	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:3200	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:3400	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:3600	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:3800	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:4000	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:4200	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:4400	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:4600	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:4800	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:5000	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
Iteration:5200	populationSize:50	Max Benefit:2443.9988703542585	Weight:9044	Hypervolume:4235987.114299
