experiments/eil101/eil101_n100_uncorr_01.ttp	Run:1
Mutation: JUMP2OPT	Indicator: HV	fixedPopulationSize:true
Injecting
Iteration:0	populationSize:50	Max Benefit:3113.731401130948	Weight:3929	Hypervolume:6972546.32876416
Iteration:200	populationSize:50	Max Benefit:3322.546108082039	Weight:3864	Hypervolume:7341714.3186654225
Iteration:400	populationSize:50	Max Benefit:3475.0784033327145	Weight:3803	Hypervolume:7646145.918228094
Iteration:600	populationSize:50	Max Benefit:3521.081183599202	Weight:3803	Hypervolume:7775187.698839307
Iteration:800	populationSize:50	Max Benefit:3521.081183599202	Weight:3803	Hypervolume:7775187.698839307
Iteration:1000	populationSize:50	Max Benefit:3521.081183599202	Weight:3803	Hypervolume:7775187.698839307
Iteration:1200	populationSize:50	Max Benefit:3521.081183599202	Weight:3803	Hypervolume:7775187.698839307
Iteration:1400	populationSize:50	Max Benefit:3521.81641423459	Weight:3803	Hypervolume:7780294.059997768
Iteration:1600	populationSize:50	Max Benefit:3521.81641423459	Weight:3803	Hypervolume:7780294.059997768
Iteration:1800	populationSize:50	Max Benefit:3521.81641423459	Weight:3803	Hypervolume:7780294.059997768
Iteration:2000	populationSize:50	Max Benefit:3521.81641423459	Weight:3803	Hypervolume:7780294.059997768
Iteration:2200	populationSize:50	Max Benefit:3521.81641423459	Weight:3803	Hypervolume:7780294.059997768
Iteration:2400	populationSize:50	Max Benefit:3538.864810873672	Weight:3803	Hypervolume:7801579.279947288
Iteration:2600	populationSize:50	Max Benefit:3538.864810873672	Weight:3803	Hypervolume:7801579.279947288
Iteration:2800	populationSize:50	Max Benefit:3538.864810873672	Weight:3803	Hypervolume:7801579.279947288
Iteration:3000	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:3200	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:3400	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:3600	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:3800	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:4000	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:4200	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:4400	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:4600	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:4800	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:5000	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:5200	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:5400	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:5600	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:5800	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
Iteration:6000	populationSize:50	Max Benefit:3550.9248108736715	Weight:3803	Hypervolume:7833686.910313897
