Iteration	LHV	LSC
0	8513165.909	8567405.61
100	8522949.49	8839898.137
200	8595009.039	8861168.452
300	8786030.413	8908388.048
400	8956663.469	8914960.082
500	8956715.332	8915034.592
600	8989377.222	8915034.592
700	9106977.846	8915034.592
800	9151876.394	8915266.633
900	9151876.394	8928542.252
1000	9151876.394	9028289.45
1100	9184667.608	9059737.97
1200	9222370.176	9059737.97
1300	9326582.669	9059837.13
1400	9338279.428	9059837.13
1500	9423696.92	9065348.301
1600	9434243.164	9065697.373
1700	9523045.573	9136954.698
1800	9523045.573	9138099.422
1900	9523045.573	9148372.135
2000	9530449.355	9262705.212
2100	9530449.355	9292383.377
2200	9530449.355	9329028.91
2300	9531572.133	9423041.1
2400	9532822.335	9426025.734
2500	9532878.731	9476619.745
2600	9532878.731	9476619.745
2700	9543084.944	9476619.745
2800	9543084.944	9476619.745
2900	9543084.944	9476619.745
3000	9543084.944	9476619.745
3100	9543285.405	9476619.745
3200	9543285.405	9476619.745
3300	9543285.405	9476619.745
3400	9543285.405	9476619.745
3500	9546223.834	9476619.745
3600	9546428.789	9489506.925
3700	9546430.767	9498015.597
3800	9546430.767	9503854.069
3900	9546430.767	9504332.965
4000	9546430.767	9504548.965
4100	9546969.329	9504548.965
4200	9546972.222	9507329.096
4300	9546972.222	9507329.096
4400	9546972.222	9507329.096
4500	9546972.222	9507329.096
4600	9546972.222	9507329.096
4700	9547016.249	9507329.096
4800	9548710.38	9507329.096
4900	9548737.778	9507329.096
5000	9548737.778	9507329.096
5100	9549702.625	9507329.096
5200	9549997.201	9507385.269
5300	9550208.962	9507409.738
5400	9550208.962	9507828.033
5500	9550233.045	9507828.033
5600	9550510.673	9507828.033
5700	9550576.677	9507828.033
5800	9550576.677	9508243.138
5900	9550600.033	9508487.144
6000	9550600.033	9508953.954
6100	9550700.554	9508953.954
6200	9550700.554	9509787.838
6300	9550700.554	9509787.838
6400	9550700.554	9513214.325
6500	9551334.663	9516170.564
6600	9551506.984	9516170.564
6700	9551506.984	9516170.564
6800	9551506.984	9516170.564
6900	9551506.984	9516170.564
7000	9551506.984	9516793.172
7100	9551506.984	9516793.172
7200	9551506.984	9516793.172
7300	9551506.984	9516793.172
7400	9551506.984	9516793.172
7500	9551506.984	9516896.857
7600	9551506.984	9516942.864
7700	9551506.984	9516942.864
7800	9551506.984	9516942.864
7900	9551506.984	9516942.864
8000	9551506.984	9516942.864
8100	9551547.463	9516942.864
8200	9551547.463	9516942.864
8300	9551547.463	9517286.035
8400	9551547.463	9517286.035
8500	9551547.463	9517286.035
8600	9564564.732	9517324.391
8700	9564571.54	9517324.391
8800	9565723.712	9517324.391
8900	9576474.199	9517324.391
9000	9576474.199	9517324.391
9100	9576474.199	9517324.391
9200	9576474.199	9517324.391
9300	9577788.453	9517324.391
9400	9581628.492	9517324.391
9500	9582283.131	9517418.117
9600	9582283.131	9520526.055
9700	9582356.747	9521568.923
9800	9582356.747	9521568.923
9900	9582356.747	9522881.899
10000	9582356.747	9522881.899
